Code,Food Group,Reference,Food Item Name,Mois,Energy,Energy,N,Prot,Fat,SAFA,MUFA,PUFA,Chol,CHO,"CHO,",Total,Added,Fiber,Starch,Ash,Ca,Fe,Mg,P,K,Na,Zn,Cu,Mn,I,Se,VitA-RAE,VitA-RE,Thia,Ribo,Niac,Vit B6,Folate,Vit B12,Panto,Biot,Vit C,Vit D,Vit E,Phytate
,,,,(g),(kCal),(kJ),(g),(g),(g),(g),(g),(g),(mg),Total (g),avail (g),Sugar (g),Sugar (g),(g),(g),(g),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mcg),(mcg),(mcg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mg),(mcg),(mg),(mcg),(mg),(mg)
MW01_0063,Staples,,Orange sweet potato,76.6,81,343,0.29,1.8,0.1,,,,,18.1,15.4,,,2.7,,0.7,26,0.5,14,46,243,10,0.49,,,,,926,,0.03,0.05,1,0.203,11,0,,,30,,0.25,
MW03_0064,Animal,,Pork,60.1,265,1100,2.67,16.8,22,,,,,0,0,0,0,0,0,1.1,10,1.4,20,170,301,68,3.6,0.1,,,,0,0,0.72,0.22,3.8,0.32,2,0.8,0,0,0,0.7,0.1,
MW03_0060,Animal,,Powdered milk,3,504,2109,4.03,25.7,28,17.55,8.31,0.7,97,37.4,37.4,0,0,0,0,5.7,930,6,85,750,1200,350,3.34,0.08,40,0,0,0,450,0.23,1.4,0.6,0.302,37,1.8,2,13.9,9,10,1.08,
MW01_0058,Staples,,Rice,13,348,1479,0.95,6,0.5,0,0,0,0,80,78.9,0,0,1.1,0,0.6,8,0.4,169,314,183,43,1.6,0.6,720,0,0,0,0,0.15,0.03,0.2,0.156,8,0,0,0,0,0,0.11,
MW10_0008,,,Salt,100,0,0,,0,0,,,,0,,,0,,0,,,,,,,,39333,,,,,,,,,,,,,,,,,,,
MW01_0059,Staples,,Samosa (vendor),35.7,309,1298,1.06,6.6,13.5,1.21,2.29,7.73,0,40.3,39.6,0,0,0.7,0,0.4,9,2.7,14,64,94,1,0,0,0,0.45,0,0,0,0.2,0.07,0.4,0.048,12,0,0,0,0,0,4.87,0
MW10_0009,,,"Soft drinks (coca cola, fanta)",100,9.56,40,,0.05,0.02,,,,,0.4,,8.98,,,,,2,0.11,1,0,1,9,0.04,0.001,,,0,,,0,0,0.015,0,0,0,,,0,0,0,
MW08_0006,Miscellaneous,,Sugar,0,400,1699,0.03,0.2,0,0,0,0,0,99.8,99.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MW08_0007,Miscellaneous,,Sugar cane,90,40,169,0.05,0.3,0,0,0,0,0,9.6,9.6,0,0,0,0,0.1,8,0.6,0,18,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
MW10_0010,,,"Sweets, candy, chocolates",100,404,1690,,5.26,26.32,,,,70,,,22.81,,1.8,,,70,2.53,,,,439,,,,,,,,,,,,,,,,,0,,
MW04_0020,Vegetable,10,Tanaposi rape,89.7,37,158,0.24,1.5,0.3,,,,,7.1,3.9,,,3.2,,1.4,1990,30.8,425,42,296,40,5.91,0.73,,,8.2,579,,0.07,0.1,0.6,0.263,194,0,,,60,,2.86,
MW10_0011,,,Tea,100,33,138,,0,0,,,,0,,,8.75,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,
MW04_0036,Vegetables,,Tomato,94.5,26,109,0.14,0.9,0.2,0,0,0,0,5.1,3.9,0,0,1.2,0,0.5,433,8.7,2,24,237,5,2.92,3.05,0,0,9.9,42,0,0.04,0.02,0.6,0.08,15,0,0.02,0,14,0,0.54,
MW01_0066,Staples,,White sweet potato,76,97,411,0.21,1.3,0.1,,,,0,22.5,19.9,,0,2.6,,0.5,19,0.4,11,38,302,10,0.2,0.2,120,,,,4,0.07,0.01,0.7,0.092,8,0,0.51,6.1,9,0,0.29,
,,,"Yeast, baking powder, bicarbonate of soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
